document_id,document_name,sort_order,chunk_id,block_count,char_count,plain_chars,data_chars,html_chars,data_kb,plain_kb,html_kb,total_payload_kb
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,228,b8042784-b3bf-4d90-a38a-149b4199309f,24,6762,6762,9349,6994,14.12,11.61,11.82,37.56
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,229,2e4332dc-b01b-4b9c-bd3e-8191d707e324,24,4817,4817,7324,5014,10.60,8.15,8.34,27.09
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,230,46988ddf-5b4c-4dca-998e-0d0ef557fb10,24,2999,2999,5579,3255,7.38,4.88,5.11,17.37
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,231,1fd3571d-122c-46b1-aa1d-2af50d62fe15,24,5881,5881,8608,6173,12.64,10.00,10.26,32.90
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,232,c955af3b-290b-4e39-8ec9-a05d09085ad6,24,7903,7903,10722,8242,15.90,13.17,13.48,42.56
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,233,484c9a05-9616-4bc0-926b-482fd122c484,24,10642,10642,13249,10859,20.95,18.42,18.61,57.98
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,234,a9507462-5e49-44ca-9060-53efbd00ae57,24,5278,5278,7820,5500,11.59,9.12,9.32,30.03
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,235,dc73cbf1-ae1f-4d85-ae22-b24c4071443b,24,7369,7369,9981,7611,15.30,12.76,12.98,41.04
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,236,e75075d1-ef7e-4f9b-b8a6-8e197145b82b,24,7476,7476,9958,7651,15.36,12.94,13.11,41.41
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,237,bd592a26-2d89-407f-8c2c-ab4cd39a1906,24,10125,10125,13095,10515,20.36,17.50,17.84,55.70
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,238,462ca3a6-8ccd-4cc0-9188-39a50785cc28,24,7415,7415,10312,7793,14.99,12.18,12.53,39.69
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,239,f3fb204e-6e06-4860-adbf-c51aea8a3e9a,24,5619,5619,8218,5866,12.04,9.52,9.74,31.30
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,240,5262fcc0-8b82-4db2-be83-0859e9990c62,24,5016,5016,7726,5323,11.13,8.51,8.78,28.42
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,241,855fd6be-1cad-49bd-8c68-3162a785437d,24,3719,3719,6404,4008,9.01,6.41,6.67,22.10
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,242,d3b96007-6d9e-42c8-a15a-9b60fff6b18d,24,3151,3151,5674,3364,7.77,5.32,5.51,18.60
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,243,9cfb4404-c5e2-4822-bbd8-3cc5780add4d,24,3032,3032,5464,3212,7.54,5.18,5.34,18.06
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,244,89c91261-d28c-43d1-a7a4-47f9f484719e,24,4082,4082,6606,4304,9.57,7.12,7.32,24.01
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,245,fa459e2a-97b6-483a-94de-f768081d5fee,24,4899,4899,7446,5124,10.80,8.33,8.54,27.67
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,246,58e7a016-616f-4ef5-acd5-0df08d122c9a,24,2645,2645,5050,2817,6.81,4.47,4.63,15.91
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,247,1a6bb15e-7cf2-49fc-b434-c97f03382fda,24,3427,3427,5822,3587,8.16,5.83,5.98,19.96
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,248,5007ae13-4788-4e64-9920-94a04f949496,24,3914,3914,6356,4096,9.11,6.73,6.90,22.75
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,249,abc32730-2c65-41de-a020-56de688515c8,24,6130,6130,8734,6377,13.23,10.71,10.93,34.87
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,250,eca04fc5-0342-48d4-8fc7-110ece40cea2,24,4467,4467,6908,4644,10.04,7.66,7.83,25.52
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,251,ff911430-7056-4729-ab7b-04374dfad68a,24,4365,4365,6847,4554,9.80,7.38,7.56,24.73
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,252,392b7fa6-0cf8-410e-81e2-7b7d51c169b8,24,4987,4987,7457,5173,10.97,8.57,8.74,28.29
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,253,baa0546e-e099-48ee-8feb-2e5d1a906f8b,24,4309,4309,6736,4479,9.67,7.31,7.47,24.45
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,254,dd03494e-ecf8-4f1e-86b2-91ae47b704b8,24,3341,3341,5745,3508,8.05,5.71,5.87,19.64
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,255,b1cf8f7d-6f5d-41fe-aa07-0141bf0e48f6,24,7321,7321,9871,7798,15.19,12.71,13.17,41.06
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,256,fffb5263-87f3-47a7-9262-b179e99f3d49,24,11107,11107,14030,11470,21.63,18.80,19.13,59.56
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,257,df73d5a6-7cef-4177-8630-76ba64bd2371,24,8279,8279,10835,8485,17.04,14.55,14.74,46.33
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,258,c4133844-54bf-4b89-a023-430d416a5e89,24,7801,7801,11091,8367,15.61,12.45,12.95,41.00
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,259,1486db52-9157-4ee1-9e8f-5274a2144908,24,6712,6712,9623,7098,13.83,11.01,11.36,36.20
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,260,4e6ee6c5-ccd1-4cfa-8774-ad3ad61bc542,24,6801,6801,9441,7044,14.43,11.86,12.09,38.39
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,261,e5592cd5-730a-4927-8462-4776ea62da3c,24,9512,9512,12485,9899,18.82,15.94,16.29,51.05
